Field ,Year,Field-DS,Rain1,Temp
1601,2016,2.1570328283,114.8285714286,7.4526666667
1602,2016,5.6923611111,114.8285714286,7.4526666667
1603,2016,2.3798611111,114.8285714286,7.4526666667
1604,2016,4.74375,114.8285714286,7.4526666667
1605,2016,6.01875,114.8285714286,7.4526666667
1606,2016,2.1173611111,109.6285714286,5.089
1607,2016,1.7030555556,109.6285714286,5.089
1608,2016,2.31625,109.6285714286,5.089
1701,2017,2.3111111111,107.8,8.0192
1702,2017,4,107.8,8.0192
1703,2017,2.1066666667,107.8,8.0192
1704,2017,2.1933333333,107.8,8.0192
1705,2017,3.5533333333,107.8,8.0192
1706,2017,3.3466666667,124.85,7.8944
1707,2017,5.4933333333,124.85,7.8944
1708,2017,2.0933333333,124.85,7.8944
1709,2017,2.02,438.0428571,9.125
1710,2017,2.52,438.0428571,9.125
1711,2017,1.44,438.0428571,9.125
